subfamily_column,main_family,subgroup
Logistic_Regression,Linear_and_Regularized_Models,Linear_and_Regularized_Models
Penalized_Regression,Linear_and_Regularized_Models,Linear_and_Regularized_Models
SVM,Support_Vector_Methods,Support_Vector_Methods
SVR,Support_Vector_Methods,Support_Vector_Methods
Decision_Trees,Tree_Based_and_Boosting_Ensembles,Tree_Based_and_Boosting_Ensembles
Random_Forests,Tree_Based_and_Boosting_Ensembles,Tree_Based_and_Boosting_Ensembles
Gradient_Boosting_Trees,Tree_Based_and_Boosting_Ensembles,Tree_Based_and_Boosting_Ensembles
k_Nearest_Neighbours,Instance_Based_and_Probabilistic_Classical_Models,Instance_Based_and_Probabilistic_Classical_Models
Naive_Bayes,Instance_Based_and_Probabilistic_Classical_Models,Instance_Based_and_Probabilistic_Classical_Models
MLP_ANN_DNN,Feedforward_Neural_Networks,Feedforward_Neural_Networks
ResNet_Family,CNN_Backbones,CNN_Backbones
DenseNet_Family,CNN_Backbones,CNN_Backbones
EfficientNet_Family,CNN_Backbones,CNN_Backbones
VGG_Family,CNN_Backbones,CNN_Backbones
Inception_Family,CNN_Backbones,CNN_Backbones
MobileNet_and_Lightweight_CNNs,CNN_Backbones,CNN_Backbones
U_Net_Family,U_Net_and_Encoder_Decoder_Segmentation_Architectures,U_Net_and_Encoder_Decoder_Segmentation_Architectures
V_Net_and_3D_Encoder_Decoder_Segmentation,U_Net_and_Encoder_Decoder_Segmentation_Architectures,U_Net_and_Encoder_Decoder_Segmentation_Architectures
Attention_and_Residual_U_Net_Variants,U_Net_and_Encoder_Decoder_Segmentation_Architectures,U_Net_and_Encoder_Decoder_Segmentation_Architectures
General_Semantic_Segmentation_CNNs,U_Net_and_Encoder_Decoder_Segmentation_Architectures,U_Net_and_Encoder_Decoder_Segmentation_Architectures
YOLO_Family,Detection_and_Localization_Architectures,Detection_and_Localization_Architectures
R_CNN_Family,Detection_and_Localization_Architectures,Detection_and_Localization_Architectures
RetinaNet_SSD_EfficientDet,Detection_and_Localization_Architectures,Detection_and_Localization_Architectures
Detection_Transformers_DETR,Detection_and_Localization_Architectures,Detection_and_Localization_Architectures
LSTM_Family,Sequence_and_State_Space_Models,Sequence_and_State_Space_Models
GRU_Family,Sequence_and_State_Space_Models,Sequence_and_State_Space_Models
Bidirectional_and_Hybrid_RNNs,Sequence_and_State_Space_Models,Sequence_and_State_Space_Models
State_Space_Models_and_Mamba,Sequence_and_State_Space_Models,Sequence_and_State_Space_Models
Biomedical_Encoder_Transformers,Transformer_Language_Models,Transformer_Language_Models
Large_Language_Models,Transformer_Language_Models,Transformer_Language_Models
Genomic_Language_Models,Transformer_Language_Models,Transformer_Language_Models
Vision_Transformers,Vision_Transformers_and_Vision_Foundation_Encoders,Vision_Transformers_and_Vision_Foundation_Encoders
Vision_Foundation_Encoders,Vision_Transformers_and_Vision_Foundation_Encoders,Vision_Transformers_and_Vision_Foundation_Encoders
Segment_Anything_Family,Vision_Transformers_and_Vision_Foundation_Encoders,Vision_Transformers_and_Vision_Foundation_Encoders
Vision_Language_Models,Vision_Language_and_Multimodal_Transformer_Models,Vision_Language_and_Multimodal_Transformer_Models
Multimodal_Transformers,Vision_Language_and_Multimodal_Transformer_Models,Vision_Language_and_Multimodal_Transformer_Models
GCN_Family,Graph_Neural_Networks,Graph_Neural_Networks
GAT_Family,Graph_Neural_Networks,Graph_Neural_Networks
GraphSAGE_and_Message_Passing_GNNs,Graph_Neural_Networks,Graph_Neural_Networks
Autoencoders_and_VAE,Generative_and_Representation_Learning_Models,Generative_and_Representation_Learning_Models
GAN_Family,Generative_and_Representation_Learning_Models,Generative_and_Representation_Learning_Models
Diffusion_Models,Generative_and_Representation_Learning_Models,Generative_and_Representation_Learning_Models
Classical_Survival_Models,Survival_Specific_Models,Survival_Specific_Models
Neural_Cox_Models,Survival_Specific_Models,Survival_Specific_Models
Competing_Risk_Survival_Networks,Survival_Specific_Models,Survival_Specific_Models
Survival_Transformers,Survival_Specific_Models,Survival_Specific_Models
Graph_Survival_Models,Survival_Specific_Models,Survival_Specific_Models
