AI Model,Total count,Share of full corpus (%),2019 count,2025 count,2019 share (%),2025 share (%),2019 to 2025 share change (pp),First detected year,Peak year,Peak count,2019-2021 count,2023-2025 count,Late/early annualized ratio
Random_Forests,2610,12.57,81,872,10.93,14.48,3.55,2019,2025,872,499,1756,3.52
SVM,2520,12.14,132,738,17.81,12.26,-5.56,2019,2025,738,571,1555,2.72
Gradient_Boosting_Trees,1851,8.91,24,778,3.24,12.92,9.68,2019,2025,778,186,1441,7.75
Logistic_Regression,1820,8.76,48,640,6.48,10.63,4.15,2019,2025,640,291,1285,4.42
ResNet_Family,1619,7.8,16,560,2.16,9.3,7.14,2019,2025,560,203,1163,5.73
Penalized_Regression,1548,7.45,24,641,3.24,10.65,7.41,2019,2025,641,175,1199,6.85
U_Net_Family,1480,7.13,35,415,4.72,6.89,2.17,2019,2025,415,261,997,3.82
Classical_Survival_Models,1393,6.71,28,501,3.78,8.32,4.54,2019,2025,501,202,1042,5.16
MLP_ANN_DNN,1262,6.08,72,316,9.72,5.25,-4.47,2019,2025,316,319,729,2.29
Decision_Trees,927,4.46,43,256,5.8,4.25,-1.55,2019,2025,256,200,577,2.88
Inception_Family,789,3.8,17,232,2.29,3.85,1.56,2019,2025,232,132,534,4.05
VGG_Family,774,3.73,12,237,1.62,3.94,2.32,2019,2025,237,130,538,4.14
k_Nearest_Neighbours,751,3.62,31,228,4.18,3.79,-0.4,2019,2025,228,142,487,3.43
DenseNet_Family,608,2.93,9,221,1.21,3.67,2.46,2019,2025,221,79,440,5.57
Vision_Transformers,536,2.58,0,323,0.0,5.36,5.36,2021,2025,323,1,513,513.0
MobileNet_and_Lightweight_CNNs,463,2.23,0,200,0.0,3.32,3.32,2020,2025,200,31,366,11.81
EfficientNet_Family,455,2.19,0,201,0.0,3.34,3.34,2020,2025,201,20,397,19.85
GAN_Family,452,2.18,13,121,1.75,2.01,0.26,2019,2025,121,102,296,2.9
Autoencoders_and_VAE,358,1.72,23,83,3.1,1.38,-1.73,2019,2025,83,99,207,2.09
Naive_Bayes,352,1.7,14,68,1.89,1.13,-0.76,2019,2025,68,99,193,1.95
Vision_Language_Models,319,1.54,2,178,0.27,2.96,2.69,2019,2025,178,19,267,14.05
General_Semantic_Segmentation_CNNs,291,1.4,17,69,2.29,1.15,-1.15,2019,2025,69,82,170,2.07
Attention_and_Residual_U_Net_Variants,271,1.31,1,104,0.13,1.73,1.59,2019,2025,104,26,200,7.69
V_Net_and_3D_Encoder_Decoder_Segmentation,269,1.3,8,71,1.08,1.18,0.1,2019,2025,71,59,167,2.83
YOLO_Family,250,1.2,1,108,0.13,1.79,1.66,2019,2025,108,17,208,12.24
LSTM_Family,250,1.2,5,74,0.67,1.23,0.55,2019,2025,74,44,166,3.77
Bidirectional_and_Hybrid_RNNs,238,1.15,7,60,0.94,1.0,0.05,2019,2025,60,51,150,2.94
Large_Language_Models,233,1.12,2,154,0.27,2.56,2.29,2019,2025,154,4,227,56.75
R_CNN_Family,215,1.04,18,28,2.43,0.47,-1.96,2019,2023,39,77,106,1.38
Vision_Foundation_Encoders,189,0.91,5,102,0.67,1.69,1.02,2019,2025,102,26,152,5.85
Detection_Transformers_DETR,148,0.71,1,64,0.13,1.06,0.93,2019,2025,64,10,125,12.5
GCN_Family,132,0.64,0,40,0.0,0.66,0.66,2020,2025,40,18,97,5.39
Diffusion_Models,127,0.61,1,56,0.13,0.93,0.8,2019,2025,56,11,101,9.18
Neural_Cox_Models,97,0.47,1,28,0.13,0.47,0.33,2019,2023,29,16,71,4.44
GRU_Family,77,0.37,2,28,0.27,0.47,0.2,2019,2025,28,5,60,12.0
SVR,70,0.34,1,16,0.13,0.27,0.13,2019,2025,16,21,36,1.71
GAT_Family,54,0.26,1,23,0.13,0.38,0.25,2019,2025,23,7,42,6.0
RetinaNet_SSD_EfficientDet,54,0.26,2,9,0.27,0.15,-0.12,2019,2023,16,14,32,2.29
Segment_Anything_Family,54,0.26,0,33,0.0,0.55,0.55,2022,2025,33,0,51,Inf
State_Space_Models_and_Mamba,45,0.22,0,42,0.0,0.7,0.7,2024,2025,42,0,45,Inf
Survival_Transformers,43,0.21,3,9,0.4,0.15,-0.26,2019,2025,9,14,22,1.57
GraphSAGE_and_Message_Passing_GNNs,42,0.2,1,16,0.13,0.27,0.13,2019,2025,16,6,26,4.33
Multimodal_Transformers,24,0.12,0,13,0.0,0.22,0.22,2022,2025,13,0,23,Inf
Biomedical_Encoder_Transformers,16,0.08,0,10,0.0,0.17,0.17,2022,2025,10,0,15,Inf
Competing_Risk_Survival_Networks,13,0.06,0,3,0.0,0.05,0.05,2021,2023,5,1,9,9.0
Genomic_Language_Models,4,0.02,0,3,0.0,0.05,0.05,2024,2025,3,0,4,Inf
Graph_Survival_Models,1,0.0,0,1,0.0,0.02,0.02,2025,2025,1,0,1,Inf
