Sheet,Rows excluding header,Columns,First columns,Suggested supplementary role
Reprint Country Overall,113,3,Reprint-address country; Count; Share_of_all_articles,Corresponding-author geography
Reprint Country Missing,2,3,Reprint-address status; Count; Share_of_all_articles,Corresponding-author geography
Reprint Country by Year,7,114,Publication Year; Afghanistan; Albania; Algeria; Angola; Argentina; Armenia; Australia,Corresponding-author geography
Reprint Country by Task,9,114,Primary Task; Afghanistan; Albania; Algeria; Angola; Argentina; Armenia; Australia,Corresponding-author geography
Reprint Country Miss Year,7,4,Publication Year; N_articles; N_missing_reprint_country; Missing_share,Corresponding-author geography
Composite Src Overall,20,3,Composite source; Count; Share_of_all_articles,Metric reporting and reported performance
Composite Src by Year,7,21,Publication Year; accuracy; balanced accuracy; c-index; cohen's kappa; dice; f1-score; fpr,Metric reporting and reported performance
Composite Src by Task,9,21,Primary Task; accuracy; balanced accuracy; c-index; cohen's kappa; dice; f1-score; fpr,Metric reporting and reported performance
Composite Src by Source,20,20,Source Title; accuracy; balanced accuracy; c-index; cohen's kappa; dice; f1-score; fpr,Metric reporting and reported performance
Composite Src by Cancer,167,3,Cancer Type; Composite Source; Count,Metric reporting and reported performance
No Metrics Overall,2,3,Reporting status; Count; Share_of_parsed_articles,Metric reporting and reported performance
No Metrics by Year,7,4,Publication Year; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
No Metrics by Task,9,4,Primary Task; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
No Metrics by Source,1829,4,Source Title; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
NoMetrics Src Hi N5,553,4,Source Title; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
NoMetrics Src Lo N5,553,4,Source Title; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
No Metrics by Cancer,10,4,Cancer Type; N_articles; N_no_metrics_reported; Share_no_metrics_reported,Metric reporting and reported performance
