Cancer Type,Total count,Share of full corpus (%),2019 count,2025 count,2019 share (%),2025 share (%),2019 to 2025 share change (pp),First detected year,Peak year,Peak count,2019-2021 count,2023-2025 count,Late/early annualized ratio
Breast cancer,3871,18.64,163,1031,22.0,17.12,-4.87,2019,2025,1031,811,2449,3.02
Brain/CNS cancer,2734,13.17,122,728,16.46,12.09,-4.37,2019,2025,728,587,1735,2.96
Lung Cancer,2616,12.6,104,758,14.04,12.59,-1.45,2019,2025,758,557,1687,3.03
Colorectal cancer,1649,7.94,59,486,7.96,8.07,0.11,2019,2025,486,336,1091,3.25
Hepato-biliary cancers,1215,5.85,22,392,2.97,6.51,3.54,2019,2025,392,226,825,3.65
Prostate cancer,1169,5.63,55,322,7.42,5.35,-2.07,2019,2025,322,297,723,2.43
Head and neck cancer,1030,4.96,30,311,4.05,5.17,1.12,2019,2025,311,195,711,3.65
Oncohematologic malignancies,805,3.88,25,260,3.37,4.32,0.94,2019,2025,260,156,521,3.34
Skin cancer,683,3.29,19,192,2.56,3.19,0.62,2019,2025,192,122,437,3.58
Cervical cancer,665,3.2,17,224,2.29,3.72,1.43,2019,2025,224,115,454,3.95
Stomach (gastric) cancer,656,3.16,18,185,2.43,3.07,0.64,2019,2025,185,116,426,3.67
Various cancers (articles with multiple nosologies or pancancer-design),633,3.05,26,174,3.51,2.89,-0.62,2019,2025,174,128,407,3.18
Melanoma,562,2.71,30,138,4.05,2.29,-1.76,2019,2025,138,141,320,2.27
Kidney cancer,480,2.31,10,157,1.35,2.61,1.26,2019,2025,157,86,319,3.71
Pancreatic cancer,450,2.17,17,147,2.29,2.44,0.15,2019,2025,147,88,313,3.56
Ovarian cancer,401,1.93,13,122,1.75,2.03,0.27,2019,2025,122,66,277,4.2
Thyroid cancer,400,1.93,13,131,1.75,2.18,0.42,2019,2025,131,77,271,3.52
Bladder cancer,338,1.63,13,114,1.75,1.89,0.14,2019,2025,114,52,241,4.63
Esophageal cancer,296,1.43,7,84,0.94,1.4,0.45,2019,2025,84,64,190,2.97
Bone cancers,200,0.96,7,50,0.94,0.83,-0.11,2019,2025,50,40,129,3.22
Sarcoma/Soft tissue tumors,176,0.85,5,57,0.67,0.95,0.27,2019,2025,57,31,113,3.65
Endometrial cancer,167,0.8,2,64,0.27,1.06,0.79,2019,2025,64,24,120,5.0
Neuroendocrine tumors,106,0.51,1,38,0.13,0.63,0.5,2019,2025,38,16,79,4.94
Neuroblastoma,55,0.26,3,21,0.4,0.35,-0.06,2019,2025,21,11,39,3.55
Mediastinal tumors,40,0.19,0,13,0.0,0.22,0.22,2020,2024,14,4,32,8.0
Occult primary cancer,38,0.18,1,5,0.13,0.08,-0.05,2019,2020,9,14,19,1.36
Testicular cancer,18,0.09,0,8,0.0,0.13,0.13,2021,2025,8,1,14,14.0
Mesothelioma,16,0.08,2,2,0.27,0.03,-0.24,2019,2022,5,5,6,1.2
Adrenal cancer,14,0.07,0,5,0.0,0.08,0.08,2021,2025,5,2,10,5.0
Anal cancer,8,0.04,0,0,0.0,0.0,0.0,2020,2022,3,1,4,4.0
Small bowel cancer,7,0.03,0,1,0.0,0.02,0.02,2022,2024,3,0,6,Inf
Parathyroid cancer,5,0.02,0,1,0.0,0.02,0.02,2022,2022,3,0,2,Inf
Penile cancer,4,0.02,0,1,0.0,0.02,0.02,2023,2024,2,0,4,Inf
Ocular / orbital cancer,4,0.02,0,2,0.0,0.03,0.03,2022,2025,2,0,3,Inf
Vulvar cancer,3,0.01,0,1,0.0,0.02,0.02,2021,2021,1,1,2,2.0
Vaginal cancer,1,0.0,0,0,0.0,0.0,0.0,2024,2024,1,0,1,Inf
