AI Class,Total labelled records,Scoreable records,Scoreable share of labelled records (%),Very high,High,Medium,Low,Very low,High or very high share of scoreable records (%),Very high share of scoreable records (%),Mean weighted category score
Tree_Based_and_Boosting_Ensembles,3892,2640,67.8,1047,835,497,138,123,71.3,39.7,3.96
Linear_and_Regularized_Models,2913,1925,66.1,617,706,387,117,98,68.7,32.1,3.85
CNN_Backbones,2871,2212,77.0,1479,413,182,50,88,85.5,66.9,4.42
Support_Vector_Methods,2558,1768,69.1,861,527,261,66,53,78.5,48.7,4.17
U_Net_and_Encoder_Decoder_Segmentation_Architectures,1737,1199,69.0,693,244,124,40,98,78.1,57.8,4.16
Survival_Specific_Models,1463,696,47.6,175,267,152,45,57,63.5,25.1,3.66
Feedforward_Neural_Networks,1262,833,66.0,433,229,106,33,32,79.5,52.0,4.2
Instance_Based_and_Probabilistic_Classical_Models,969,707,73.0,361,193,100,30,23,78.4,51.1,4.19
Generative_and_Representation_Learning_Models,908,442,48.7,258,98,35,13,38,80.5,58.4,4.19
Vision_Transformers_and_Vision_Foundation_Encoders,746,550,73.7,355,100,46,15,34,82.7,64.5,4.32
Detection_and_Localization_Architectures,484,363,75.0,206,81,43,13,20,79.1,56.7,4.21
Sequence_and_State_Space_Models,446,276,61.9,194,48,21,3,10,87.7,70.3,4.5
Vision_Language_and_Multimodal_Transformer_Models,337,186,55.2,90,47,26,9,14,73.7,48.4,4.02
Transformer_Language_Models,245,105,42.9,39,25,15,10,16,61.0,37.1,3.58
Graph_Neural_Networks,202,97,48.0,52,27,11,3,4,81.4,53.6,4.24
