AI Model,Total labelled records,Scoreable records,Scoreable share of labelled records (%),Very high,High,Medium,Low,Very low,High or very high share of scoreable records (%),Very high share of scoreable records (%),Mean weighted category score
Random_Forests,2610,1763,67.5,706,579,315,81,82,72.9,40.0,3.99
SVM,2520,1753,69.6,854,525,259,63,52,78.7,48.7,4.18
Gradient_Boosting_Trees,1851,1324,71.5,505,425,276,70,48,70.2,38.1,3.96
Logistic_Regression,1820,1333,73.2,422,493,271,84,63,68.6,31.7,3.85
ResNet_Family,1619,1277,78.9,827,249,112,38,51,84.3,64.8,4.38
Penalized_Regression,1548,930,60.1,299,347,184,50,50,69.5,32.2,3.85
U_Net_Family,1480,1032,69.7,593,212,110,36,81,78.0,57.5,4.16
Classical_Survival_Models,1393,659,47.3,164,248,150,44,53,62.5,24.9,3.65
MLP_ANN_DNN,1262,833,66.0,433,229,106,33,32,79.5,52.0,4.2
Decision_Trees,927,634,68.4,281,196,96,28,33,75.2,44.3,4.05
Inception_Family,789,603,76.4,441,94,37,8,23,88.7,73.1,4.53
VGG_Family,774,595,76.9,431,92,38,9,25,87.9,72.4,4.5
k_Nearest_Neighbours,751,547,72.8,299,136,74,18,20,79.5,54.7,4.24
DenseNet_Family,608,488,80.3,338,84,42,7,17,86.5,69.3,4.47
Vision_Transformers,536,398,74.3,272,67,31,10,18,85.2,68.3,4.42
MobileNet_and_Lightweight_CNNs,463,357,77.1,270,59,12,3,13,92.2,75.6,4.6
EfficientNet_Family,455,376,82.6,290,48,19,6,13,89.9,77.1,4.59
GAN_Family,452,205,45.4,124,38,11,10,22,79.0,60.5,4.13
Autoencoders_and_VAE,358,192,53.6,125,37,14,2,14,84.4,65.1,4.34
Naive_Bayes,352,254,72.2,114,80,38,13,9,76.4,44.9,4.09
Vision_Language_Models,319,176,55.2,82,46,25,9,14,72.7,46.6,3.98
General_Semantic_Segmentation_CNNs,291,190,65.3,117,37,16,3,17,81.1,61.6,4.23
Attention_and_Residual_U_Net_Variants,271,206,76.0,138,30,19,7,12,81.6,67.0,4.33
V_Net_and_3D_Encoder_Decoder_Segmentation,269,200,74.3,95,54,28,9,14,74.5,47.5,4.04
LSTM_Family,250,155,62.0,110,31,12,1,1,91.0,71.0,4.6
YOLO_Family,250,185,74.0,100,40,27,5,13,75.7,54.1,4.13
Bidirectional_and_Hybrid_RNNs,238,143,60.1,106,20,11,1,5,88.1,74.1,4.55
Large_Language_Models,233,96,41.2,32,24,14,10,16,58.3,33.3,3.48
R_CNN_Family,215,166,77.2,102,38,17,6,3,84.3,61.4,4.39
Vision_Foundation_Encoders,189,136,72.0,81,23,14,5,13,76.5,59.6,4.13
Detection_Transformers_DETR,148,113,76.4,59,23,16,4,11,72.6,52.2,4.02
GCN_Family,132,59,44.7,35,15,4,2,3,84.7,59.3,4.31
Diffusion_Models,127,56,44.1,16,27,10,1,2,76.8,28.6,3.96
Neural_Cox_Models,97,66,68.0,17,33,9,1,6,75.8,25.8,3.82
GRU_Family,77,53,68.8,46,7,0,0,0,100.0,86.8,4.87
SVR,70,37,52.9,16,9,4,5,3,67.6,43.2,3.81
RetinaNet_SSD_EfficientDet,54,44,81.5,24,7,7,2,4,70.5,54.5,4.02
Segment_Anything_Family,54,42,77.8,20,14,3,1,4,81.0,47.6,4.07
GAT_Family,54,32,59.3,14,10,7,1,0,75.0,43.8,4.16
State_Space_Models_and_Mamba,45,31,68.9,16,6,3,1,5,71.0,51.6,3.87
Survival_Transformers,43,22,51.2,8,10,1,0,3,81.8,36.4,3.91
GraphSAGE_and_Message_Passing_GNNs,42,19,45.2,10,5,3,0,1,78.9,52.6,4.21
Multimodal_Transformers,24,13,54.2,10,1,1,1,0,84.6,76.9,4.54
