Cancer Type,Total labelled records,Scoreable records,Scoreable share of labelled records (%),Very high,High,Medium,Low,Very low,High or very high share of scoreable records (%),Very high share of scoreable records (%),Mean weighted category score
Breast cancer,3871,2249,58.1,1160,555,303,109,122,76.3,51.6,4.12
Brain/CNS cancer,2734,1627,59.5,1036,292,151,42,106,81.6,63.7,4.3
Lung Cancer,2616,1581,60.4,688,453,249,87,104,72.2,43.5,3.97
Colorectal cancer,1649,920,55.8,445,242,151,40,42,74.7,48.4,4.1
Hepato-biliary cancers,1215,687,56.5,260,242,114,26,45,73.1,37.8,3.94
Prostate cancer,1169,671,57.4,209,215,129,48,70,63.2,31.1,3.66
Head and neck cancer,1030,642,62.3,249,211,104,33,45,71.7,38.8,3.91
Oncohematologic malignancies,805,463,57.5,232,106,74,16,35,73.0,50.1,4.05
Skin cancer,683,450,65.9,294,76,37,13,30,82.2,65.3,4.31
Cervical cancer,665,421,63.3,241,87,44,22,27,77.9,57.2,4.17
Stomach (gastric) cancer,656,412,62.8,170,134,68,16,24,73.8,41.3,4.0
Various cancers (articles with multiple nosologies or pancancer-design),633,295,46.6,148,62,48,13,24,71.2,50.2,4.01
Melanoma,562,314,55.9,162,75,35,20,22,75.5,51.6,4.07
Kidney cancer,480,262,54.6,122,62,54,11,13,70.2,46.6,4.03
Pancreatic cancer,450,253,56.2,118,79,31,12,13,77.9,46.6,4.09
Ovarian cancer,401,232,57.9,103,67,37,11,14,73.3,44.4,4.01
Thyroid cancer,400,270,67.5,105,96,45,13,11,74.4,38.9,4.0
Bladder cancer,338,171,50.6,70,53,29,10,9,71.9,40.9,3.96
Esophageal cancer,296,189,63.9,72,64,34,10,9,72.0,38.1,3.95
Bone cancers,200,114,57.0,58,32,15,4,5,78.9,50.9,4.18
Sarcoma/Soft tissue tumors,176,101,57.4,34,31,21,5,10,64.4,33.7,3.73
Endometrial cancer,167,108,64.7,54,38,7,6,3,85.2,50.0,4.24
Neuroendocrine tumors,106,73,68.9,25,33,7,2,6,79.5,34.2,3.95
Neuroblastoma,55,30,54.5,16,6,1,4,3,73.3,53.3,3.93
Mediastinal tumors,40,26,65.0,12,6,6,0,2,69.2,46.2,4.0
Occult primary cancer,38,27,71.1,18,3,3,1,2,77.8,66.7,4.26
